id,name,description,sell_price,items
25,able themselves,Collection trouble social quickly television soon red career.,23.2,"{146: 3, 75: 4, 152: 3, 127: 3}"
26,during start,Computer mean morning interesting consumer sister manager compare country.,34.56,"{21: 1, 8: 1, 142: 3}"
27,our such,They father large discuss compare low rather bit throughout water leave heart.,25.88,"{9: 1, 17: 3, 197: 4}"
28,number stop,My word positive single hope hour main.,15.98,"{84: 3, 132: 1, 27: 3}"
29,instead world,Wall I good country actually in want easy thought myself perhaps close job.,16.71,"{109: 4, 178: 4}"
30,room act,Himself drop student sometimes rich politics property relationship game final present.,16.66,"{29: 2, 4: 2, 57: 4, 22: 2, 134: 3}"
31,heart gas,Professional among best writer marriage mention discover need give.,23.91,"{19: 3, 62: 3, 39: 1, 174: 1, 178: 4}"
32,heart deep,Then fund partner economy center need wait.,12.82,"{126: 4, 191: 4, 1: 2}"
33,air song,Movement school join now section discover range.,34.79,"{147: 1, 127: 4, 81: 3, 178: 2}"
34,ground consumer,Visit five general I alone recent however.,11.95,"{53: 3, 9: 1, 18: 3, 122: 3}"
35,shake should,Account season special capital Republican energy officer water have city great each seem.,21.36,"{122: 3, 12: 2, 105: 3, 30: 2, 50: 1}"
36,second then,Number who certainly contain grow all natural find image understand road.,23.33,"{151: 4, 61: 3, 49: 1, 10: 2}"
37,such with,Operation authority history rule culture back.,8.67,"{113: 4, 157: 2}"
38,training agent,Assume language wide determine whether herself she too prepare her.,14.28,"{106: 1, 175: 2, 136: 4, 120: 3, 108: 4}"
39,attack ten,Without animal Mrs year arm cut manager maybe which just agreement.,18.46,"{106: 3, 197: 3, 89: 2, 90: 1, 171: 4}"
40,specific accept,Fund no expert market memory local need memory.,13.54,"{189: 2, 31: 3, 65: 1, 43: 2}"
41,remain ask,Artist small Mrs account goal need cell own around we family population.,23.35,"{40: 2, 5: 1}"
42,simply stand,Often take claim side cut college yet western.,22.94,"{82: 3, 199: 2, 70: 1, 64: 4}"
43,story election,Treatment song meet message sing expert discover newspaper sell hotel produce nature.,20.83,"{7: 2, 53: 3}"
44,open one,High reason would executive next sense chance mission see difficult surface.,33.88,"{16: 2, 92: 1, 99: 3}"
45,place wife,Member education save team structure task now worry set last difficult collection.,17.96,"{30: 4, 31: 3, 120: 4, 50: 2}"
46,along on,Local behind response action take so might.,24.3,"{79: 3, 70: 2, 40: 3, 81: 1}"
47,floor network,Over development from anything trouble Republican pay develop certain power group inside same.,19.43,"{46: 2, 75: 1, 161: 4}"
48,offer support,Despite discuss far born respond star keep attention let.,33.06,"{186: 1, 107: 1, 80: 3, 12: 4}"
49,audience never,Again where weight free sport production free among myself agent.,29.53,"{156: 3, 58: 3, 18: 4}"
50,worry physical,Foreign commercial most board kitchen whole report population protect impact paper rather respond.,14.15,"{111: 1, 138: 3, 134: 4}"
51,short laugh,Role federal usually history small shake still challenge.,30.76,"{7: 2, 155: 4, 164: 2, 62: 3, 110: 3}"
52,window thank,Each campaign eye current town population behind protect stuff industry floor.,22.61,"{125: 2, 173: 3, 101: 2, 74: 2}"
53,north order,Pretty magazine police lead head act term.,25.5,"{69: 2, 120: 4, 135: 3, 151: 1, 134: 4}"
54,up food,Answer board enter case PM huge husband us.,19.71,"{135: 4, 143: 4, 127: 3, 178: 3}"
55,city common,Type around start road someone tough.,27.49,"{183: 2, 139: 2, 137: 4, 81: 1, 156: 1}"
56,maybe staff,Prepare mention coach particularly key southern.,15.14,"{123: 2, 31: 2}"
57,whatever western,Place there hair themselves town author thing he sense story body social step.,24.23,"{170: 2, 31: 3, 14: 4, 149: 2}"
58,possible success,Summer southern sport decade every word.,19.37,"{190: 4, 158: 1, 154: 3, 187: 1, 3: 2}"
59,world white,Father expert clearly enter possible four born dog.,15.63,"{73: 3, 101: 2, 196: 1, 102: 2}"
60,during land,Kitchen realize student similar black activity of fine message from a direction marriage.,21.3,"{159: 1, 83: 2, 29: 2, 24: 3}"
61,difference let,Consider laugh really over alone force.,15.94,"{149: 4, 177: 4}"
62,perform firm,Seven least wish trip inside fight manager owner data me of guy throw.,34.09,"{122: 4, 94: 4, 199: 4}"
63,lay loss,Level its tend six look word live decision.,14.44,"{12: 1, 64: 2, 39: 1}"
64,threat action,Right TV box bed run eye town support do agree defense unit yeah.,32.17,"{188: 1, 29: 2, 123: 4, 110: 2, 71: 2}"
65,tough similar,Physical explain perform audience relationship forget wall word win former.,17.04,"{71: 4, 130: 1, 146: 3, 128: 1}"
66,source consumer,He fire production sort company window ready determine toward brother.,15.79,"{3: 2, 55: 3, 159: 1, 112: 3}"
67,fish detail,Purpose off may station program several deep sound.,12.17,"{107: 1, 103: 1, 29: 3}"
68,piece child,Newspaper can better fine special radio that.,17.12,"{139: 1, 124: 4}"
69,commercial from,Act pass show push compare item interview.,28.68,"{23: 4, 139: 3, 34: 3, 119: 4, 195: 4}"
70,quickly just,Food by range represent under camera exactly.,9.91,"{79: 4, 138: 4, 152: 1, 196: 2, 14: 2}"
71,water way,Field husband fact wait mission painting person product society minute education since.,16.44,"{74: 2, 52: 4}"
72,detail own,With I decision statement available family this evidence size.,11.03,"{113: 3, 10: 4, 61: 2, 71: 2}"
73,since military,Threat under tonight pass class possible manage two coach common cut.,25.69,"{197: 4, 66: 1, 164: 4}"
74,rise attorney,Unit executive board trial need grow especially board because stock.,13.66,"{1: 3, 152: 4}"
75,discover within,Marriage writer should use form deep none.,34.0,"{88: 3, 18: 2, 181: 3}"
76,after million,Table describe TV government southern its.,30.32,"{38: 2, 187: 1, 118: 3, 141: 3}"
77,week foreign,Heart relationship too usually control feeling parent.,31.87,"{155: 3, 194: 4, 180: 1}"
78,total vote,Blue his eight cold exactly including top watch writer enter ever positive.,8.86,"{166: 2, 195: 3}"
79,PM off,No but window partner race leave.,13.66,"{196: 1, 93: 4}"
80,worry Republican,Floor although science drive tell record law opportunity risk foreign edge learn.,31.73,"{43: 1, 194: 2, 8: 3, 83: 3}"
81,because a,Defense ball high sure down fall suddenly difficult least see meeting know blue.,24.15,"{194: 1, 85: 2, 15: 4, 33: 4}"
82,act old,Keep early star consider hotel item drug two he middle recently western us.,16.46,"{107: 1, 134: 2, 101: 2}"
83,message fight,Respond garden field require partner administration involve quality expert voice his answer painting.,12.65,"{121: 4, 29: 2}"
84,western of,Maintain environmental note factor interesting fear better report song her early.,20.76,"{58: 3, 122: 3}"
85,economy remember,At treatment fact concern when visit.,24.66,"{72: 3, 91: 3, 75: 2, 22: 2}"
86,director enjoy,Admit business board million structure wife inside suggest thank now lawyer.,8.34,"{56: 3, 43: 3, 179: 2, 172: 4, 74: 4}"
87,perhaps anyone,Least act thought represent new thought must sing fight southern movement return seem.,14.6,"{128: 3, 29: 2, 196: 1, 164: 4, 159: 4}"
88,every else,Vote and laugh approach not star small skill most.,11.12,"{180: 2, 148: 1}"
89,weight pull,Class the method half full free leave couple people we.,13.36,"{40: 4, 52: 3, 167: 3}"
90,here order,Man book follow article relationship wind card whom require forward a as heart.,26.62,"{110: 1, 139: 1}"
91,newspaper second,Full remain include then son choice discuss part book food white social suffer.,29.62,"{30: 1, 58: 3}"
92,news dinner,Receive have be according increase practice through here focus piece professor discussion.,24.02,"{139: 4, 170: 3, 177: 4, 90: 4, 197: 1}"
93,contain behind,Blood which safe then computer center right effort feel exactly somebody.,9.72,"{30: 4, 33: 4}"
94,could many,Discussion sound or interview ok or about.,33.27,"{178: 4, 153: 3, 39: 4, 68: 3, 104: 3}"
95,grow enough,Medical allow level develop read fear.,26.13,"{63: 2, 196: 3, 163: 2, 191: 2, 190: 4}"
96,live relate,Deal represent local answer purpose report address Congress case.,22.42,"{156: 1, 173: 4, 57: 2, 58: 3}"
97,turn though,Eight herself huge officer want find commercial.,25.72,"{82: 1, 118: 3, 63: 1}"
98,west power,Hard whatever official air reveal break defense upon maybe play walk.,28.26,"{141: 3, 147: 3, 171: 1, 95: 1}"
99,public than,Another their sound our beat notice enjoy she.,18.33,"{162: 3, 140: 4, 42: 2, 92: 1}"
100,computer prepare,Black southern front official evidence doctor.,33.72,"{66: 2, 122: 4, 15: 3, 53: 1}"
101,than require,Unit reveal subject speech explain cover low such interest.,11.12,"{155: 1, 62: 2, 31: 1}"
102,education hit,Sell knowledge represent factor week write staff daughter budget.,28.07,"{45: 2, 66: 3, 192: 4}"
103,address manage,Case memory remember when huge south call direction.,10.77,"{189: 1, 152: 4, 187: 3}"
104,affect bit,Marriage floor choose cold his public start alone responsibility conference ready.,12.83,"{86: 2, 116: 4}"
105,thought rather,Energy under remain police however person eight writer indeed hand whole.,27.2,"{62: 2, 65: 1, 176: 2, 146: 2, 136: 4}"
106,town here,Growth specific set most phone last science similar.,11.12,"{14: 1, 144: 4}"
107,newspaper artist,Or simple politics watch assume apply eight recent.,31.29,"{51: 4, 101: 4}"
108,history edge,Person despite minute management thank crime participant require it if design factor world who.,11.67,"{84: 4, 67: 2, 75: 1, 12: 2}"
109,film gun,Clearly part war interview indeed collection rule right.,22.24,"{15: 4, 46: 4, 85: 1, 28: 2}"
110,quickly reduce,Turn now thus seek southern employee none get imagine us.,12.54,"{156: 1, 151: 3, 106: 1}"
111,along science,Rule occur effect center dinner reality action.,15.71,"{42: 4, 127: 2, 88: 3}"
112,part yet,Think company cold evidence mean face federal in again company training speak in.,22.3,"{102: 4, 186: 1, 171: 1}"
113,ball sure,Soldier song special economic soon citizen approach.,13.85,"{41: 1, 48: 1, 184: 2}"
114,visit score,Allow administration husband address none those public.,32.19,"{57: 1, 147: 1, 25: 3}"
115,work data,Reduce manager close send upon note which whatever heart future.,20.75,"{192: 4, 78: 3, 71: 2, 35: 1, 19: 2}"
116,from same,Media minute Mrs matter past agent oil today sometimes me money war.,21.09,"{75: 4, 126: 4, 199: 4, 183: 2, 90: 3}"
117,least father,Mission world as day use watch.,21.9,"{170: 2, 197: 3, 63: 1}"
118,challenge practice,Mind pressure often official perform need prove month face.,19.93,"{164: 3, 47: 4, 114: 2}"
119,firm fire,Throw forward skill condition science religious reality than stage with simply.,11.67,"{86: 3, 144: 1, 64: 4}"
120,until wait,Century seat area question radio someone important company enjoy opportunity action candidate prevent.,32.06,"{140: 3, 111: 3, 163: 2, 88: 4, 194: 4}"
121,campaign marriage,Understand individual later part ball national push science unit minute wrong.,19.63,"{132: 4, 94: 2, 71: 3}"
122,find street,Couple nor yard share participant election wall shake feeling end.,12.88,"{86: 4, 62: 2, 21: 4, 46: 4, 161: 2}"
123,head ready,Activity under picture thought bill discover have time believe nor.,24.64,"{81: 4, 18: 1, 41: 1, 1: 3}"
124,maintain price,Today collection minute quite bank occur play your draw let anything.,31.54,"{59: 1, 49: 4, 41: 4, 109: 1}"
125,teach long,Red most three open former whole least us price top lead grow capital.,15.7,"{144: 3, 40: 4, 134: 3}"
126,clearly see,Fear trip mouth five give father kind piece family film happy hand.,15.81,"{6: 3, 58: 1, 50: 3, 106: 3}"
127,life up,Provide anything live side pay point describe practice exactly.,26.52,"{81: 2, 55: 1}"
128,entire agree,Eye head pass lose argue agree involve argue sing student at always try.,27.34,"{110: 4, 147: 1, 199: 4}"
129,yard peace,Nature rise one find receive wish author age bed book.,31.82,"{30: 1, 164: 1}"
130,green my,Debate child tell fly catch happy company executive fish newspaper board.,8.93,"{11: 1, 99: 1, 191: 3}"
131,similar yes,Either make board each enjoy major special training dinner Congress bank seem must.,19.63,"{154: 3, 14: 1, 168: 3, 32: 3, 106: 2}"
132,nor particularly,They front room door amount way gun reflect rest deal process.,11.16,"{76: 3, 51: 3}"
133,positive region,Room meeting become push coach really teacher.,20.71,"{52: 1, 162: 2, 109: 2, 132: 1}"
134,institution economy,Business million doctor of matter traditional green drop indicate.,34.98,"{141: 4, 63: 3}"
135,simple remain,Personal some because thought answer also quality final.,13.66,"{33: 4, 80: 2, 170: 3, 27: 1, 67: 2}"
136,century walk,Money us force when produce drive season kitchen work hour put.,34.1,"{67: 1, 95: 3, 149: 4, 193: 1}"
137,drive trouble,Some student little manager west leader.,27.87,"{47: 3, 41: 4, 89: 4, 4: 1}"
138,base own,Rock sort market ready responsibility start drug knowledge central.,18.77,"{108: 3, 72: 3}"
139,play nor,Current operation commercial seven sport test natural share professional.,9.89,"{105: 1, 89: 3}"
140,crime scene,Century nice evening they few federal money nothing ball hope.,13.05,"{164: 4, 196: 1, 131: 3}"
141,relate notice,Single whom table throw traditional carry store national raise head act.,11.13,"{29: 3, 122: 1}"
142,reflect book,Economy movie ahead water she white country cover address require.,25.59,"{109: 3, 94: 4, 91: 4, 164: 4, 123: 2}"
143,career care,A describe court yes produce throw keep organization write anyone become young.,32.51,"{93: 2, 175: 3, 108: 2}"
144,itself arrive,Vote just itself usually sing civil science chance.,19.55,"{50: 4, 70: 1}"
145,despite data,Forward certainly size opportunity respond apply tree too high interview fine power performance.,33.92,"{112: 1, 105: 4, 166: 2, 30: 1}"
146,cover quite,Decide look image plant do eye great current race loss.,29.55,"{1: 1, 19: 1, 114: 2}"
147,mention bill,Condition theory not ever soldier thus middle.,18.98,"{181: 3, 11: 4, 82: 1, 61: 3, 196: 4}"
148,born home,Skin picture into investment low stop face professor reveal yet.,14.98,"{119: 2, 91: 3, 178: 4}"
149,food bill,Chair him occur upon mouth else land include theory.,21.72,"{85: 1, 146: 4, 96: 3}"
150,good stay,Mouth cup mean stage himself organization start time market follow become.,14.33,"{46: 3, 25: 1, 68: 4, 193: 1, 180: 1}"
